Epoch [25/50], Step [18/48], Loss: nan
Epoch [25/50], Step [24/48], Loss: nan
Epoch [25/50], Step [30/48], Loss: nan
Epoch [25/50], Step [36/48], Loss: nan
Epoch [25/50], Step [42/48], Loss: nan
Epoch [25/50], Step [48/48], Loss: nan
Epoch [26/50], Step [6/48], Loss: nan
Epoch [26/50], Step [12/48], Loss: nan
Epoch [26/50], Step [18/48], Loss: nan
Epoch [26/50], Step [24/48], Loss: nan
Epoch [26/50], Step [30/48], Loss: nan
Epoch [26/50], Step [36/48], Loss: nan
Epoch [26/50], Step [42/48], Loss: nan
Epoch [26/50], Step [48/48], Loss: nan
Epoch [27/50], Step [6/48], Loss: nan
Epoch [27/50], Step [12/48], Loss: nan
Epoch [27/50], Step [18/48], Loss: nan
Epoch [27/50], Step [24/48], Loss: nan
Epoch [27/50], Step [30/48], Loss: nan
Epoch [27/50], Step [36/48], Loss: nan
Epoch [27/50], Step [42/48], Loss: nan
Epoch [27/50], Step [48/48], Loss: nan
Epoch [28/50], Step [6/48], Loss: nan
Epoch [28/50], Step [12/48], Loss: nan
Epoch [28/50], Step [18/48], Loss: nan
Epoch [28/50], Step [24/48], Loss: nan
Epoch [28/50], Step [30/48], Loss: nan
Epoch [28/50], Step [36/48], Loss: nan
Epoch [28/50], Step [42/48], Loss: nan
Epoch [28/50], Step [48/48], Loss: nan
Epoch [29/50], Step [6/48], Loss: nan
Epoch [29/50], Step [12/48], Loss: nan
Epoch [29/50], Step [18/48], Loss: nan
Epoch [29/50], Step [24/48], Loss: nan
Epoch [29/50], Step [30/48], Loss: nan
Epoch [29/50], Step [36/48], Loss: nan
Epoch [29/50], Step [42/48], Loss: nan
Epoch [29/50], Step [48/48], Loss: nan
Epoch [30/50], Step [6/48], Loss: nan
Epoch [30/50], Step [12/48], Loss: nan
Epoch [30/50], Step [18/48], Loss: nan
Epoch [30/50], Step [24/48], Loss: nan
Epoch [30/50], Step [30/48], Loss: nan
Epoch [30/50], Step [36/48], Loss: nan
Epoch [30/50], Step [42/48], Loss: nan
Epoch [30/50], Step [48/48], Loss: nan
Epoch [31/50], Step [6/48], Loss: nan
Epoch [31/50], Step [12/48], Loss: nan
Epoch [31/50], Step [18/48], Loss: nan
Epoch [31/50], Step [24/48], Loss: nan
Epoch [31/50], Step [30/48], Loss: nan
Epoch [31/50], Step [36/48], Loss: nan
Epoch [31/50], Step [42/48], Loss: nan
Epoch [31/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [31/50], Step [48/48], Loss: nan
Epoch [32/50], Step [6/48], Loss: nan
Epoch [32/50], Step [12/48], Loss: nan
Epoch [32/50], Step [18/48], Loss: nan
Epoch [32/50], Step [24/48], Loss: nan
Epoch [32/50], Step [30/48], Loss: nan
Epoch [32/50], Step [36/48], Loss: nan
Epoch [32/50], Step [42/48], Loss: nan
Epoch [32/50], Step [48/48], Loss: nan
Epoch [33/50], Step [6/48], Loss: nan
Epoch [33/50], Step [12/48], Loss: nan
Epoch [33/50], Step [18/48], Loss: nan
Epoch [33/50], Step [24/48], Loss: nan
Epoch [33/50], Step [30/48], Loss: nan
Epoch [33/50], Step [36/48], Loss: nan
Epoch [33/50], Step [42/48], Loss: nan
Epoch [33/50], Step [48/48], Loss: nan
Epoch [34/50], Step [6/48], Loss: nan
Epoch [34/50], Step [12/48], Loss: nan
Epoch [34/50], Step [18/48], Loss: nan
Epoch [34/50], Step [24/48], Loss: nan
Epoch [34/50], Step [30/48], Loss: nan
Epoch [34/50], Step [36/48], Loss: nan
Epoch [34/50], Step [42/48], Loss: nan
Epoch [34/50], Step [48/48], Loss: nan
Epoch [35/50], Step [6/48], Loss: nan
Epoch [35/50], Step [12/48], Loss: nan
Epoch [35/50], Step [18/48], Loss: nan
Epoch [35/50], Step [24/48], Loss: nan
Epoch [35/50], Step [30/48], Loss: nan
Epoch [35/50], Step [36/48], Loss: nan
Epoch [35/50], Step [42/48], Loss: nan
Epoch [35/50], Step [48/48], Loss: nan
Epoch [36/50], Step [6/48], Loss: nan
Epoch [36/50], Step [12/48], Loss: nan
Epoch [36/50], Step [18/48], Loss: nan
Epoch [36/50], Step [24/48], Loss: nan
Epoch [36/50], Step [30/48], Loss: nan
Epoch [36/50], Step [36/48], Loss: nan
Epoch [36/50], Step [42/48], Loss: nan
Epoch [36/50], Step [48/48], Loss: nan
Epoch [37/50], Step [6/48], Loss: nan
Epoch [37/50], Step [12/48], Loss: nan
Epoch [37/50], Step [18/48], Loss: nan
Epoch [37/50], Step [24/48], Loss: nan
Epoch [37/50], Step [30/48], Loss: nan
Epoch [37/50], Step [36/48], Loss: nan
Epoch [37/50], Step [42/48], Loss: nan
Epoch [37/50], Step [48/48], Loss: nan
Epoch [38/50], Step [6/48], Loss: nan
Epoch [38/50], Step [12/48], Loss: nan
Epoch [38/50], Step [18/48], Loss: nan
Epoch [38/50], Step [24/48], Loss: nan
Epoch [38/50], Step [30/48], Loss: nan
Epoch [38/50], Step [36/48], Loss: nan
Epoch [38/50], Step [42/48], Loss: nan
Epoch [38/50], Step [48/48], Loss: nan
Epoch [39/50], Step [6/48], Loss: nan
Epoch [39/50], Step [12/48], Loss: nan
Epoch [39/50], Step [18/48], Loss: nan
Epoch [39/50], Step [24/48], Loss: nan
Epoch [39/50], Step [30/48], Loss: nan
Epoch [39/50], Step [36/48], Loss: nan
Epoch [39/50], Step [42/48], Loss: nan
Epoch [39/50], Step [48/48], Loss: nan
Epoch [40/50], Step [6/48], Loss: nan
Epoch [40/50], Step [12/48], Loss: nan
Epoch [40/50], Step [18/48], Loss: nan
Epoch [40/50], Step [24/48], Loss: nan
Epoch [40/50], Step [30/48], Loss: nan
Epoch [40/50], Step [36/48], Loss: nan
Epoch [40/50], Step [42/48], Loss: nan
Epoch [40/50], Step [48/48], Loss: nan
Epoch [41/50], Step [6/48], Loss: nan
Epoch [41/50], Step [12/48], Loss: nan
Epoch [41/50], Step [18/48], Loss: nan
Epoch [41/50], Step [24/48], Loss: nan
Epoch [41/50], Step [30/48], Loss: nan
Epoch [41/50], Step [36/48], Loss: nan
Epoch [41/50], Step [42/48], Loss: nan
Epoch [41/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [41/50], Step [48/48], Loss: nan
Epoch [42/50], Step [6/48], Loss: nan
Epoch [42/50], Step [12/48], Loss: nan
Epoch [42/50], Step [18/48], Loss: nan
Epoch [42/50], Step [24/48], Loss: nan
Epoch [42/50], Step [30/48], Loss: nan
Epoch [42/50], Step [36/48], Loss: nan
Epoch [42/50], Step [42/48], Loss: nan
Epoch [42/50], Step [48/48], Loss: nan
Epoch [43/50], Step [6/48], Loss: nan
Epoch [43/50], Step [12/48], Loss: nan
Epoch [43/50], Step [18/48], Loss: nan
Epoch [43/50], Step [24/48], Loss: nan
Epoch [43/50], Step [30/48], Loss: nan
Epoch [43/50], Step [36/48], Loss: nan
Epoch [43/50], Step [42/48], Loss: nan
Epoch [43/50], Step [48/48], Loss: nan
Epoch [44/50], Step [6/48], Loss: nan
Epoch [44/50], Step [12/48], Loss: nan
Epoch [44/50], Step [18/48], Loss: nan
Epoch [44/50], Step [24/48], Loss: nan
Epoch [44/50], Step [30/48], Loss: nan
Epoch [44/50], Step [36/48], Loss: nan
Epoch [44/50], Step [42/48], Loss: nan
Epoch [44/50], Step [48/48], Loss: nan
Epoch [45/50], Step [6/48], Loss: nan
Epoch [45/50], Step [12/48], Loss: nan
Epoch [45/50], Step [18/48], Loss: nan
Epoch [45/50], Step [24/48], Loss: nan
Epoch [45/50], Step [30/48], Loss: nan
Epoch [45/50], Step [36/48], Loss: nan
Epoch [45/50], Step [42/48], Loss: nan
Epoch [45/50], Step [48/48], Loss: nan
Epoch [46/50], Step [6/48], Loss: nan
Epoch [46/50], Step [12/48], Loss: nan
Epoch [46/50], Step [18/48], Loss: nan
Epoch [46/50], Step [24/48], Loss: nan
Epoch [46/50], Step [30/48], Loss: nan
Epoch [46/50], Step [36/48], Loss: nan
Epoch [46/50], Step [42/48], Loss: nan
Epoch [46/50], Step [48/48], Loss: nan
Epoch [47/50], Step [6/48], Loss: nan
Epoch [47/50], Step [12/48], Loss: nan
Epoch [47/50], Step [18/48], Loss: nan
Epoch [47/50], Step [24/48], Loss: nan
Epoch [47/50], Step [30/48], Loss: nan
Epoch [47/50], Step [36/48], Loss: nan
Epoch [47/50], Step [42/48], Loss: nan
Epoch [47/50], Step [48/48], Loss: nan
Epoch [48/50], Step [6/48], Loss: nan
Epoch [48/50], Step [12/48], Loss: nan
Epoch [48/50], Step [18/48], Loss: nan
Epoch [48/50], Step [24/48], Loss: nan
Epoch [48/50], Step [30/48], Loss: nan
Epoch [48/50], Step [36/48], Loss: nan
Epoch [48/50], Step [42/48], Loss: nan
Epoch [48/50], Step [48/48], Loss: nan
Epoch [49/50], Step [6/48], Loss: nan
Epoch [49/50], Step [12/48], Loss: nan
Epoch [49/50], Step [18/48], Loss: nan
Epoch [49/50], Step [24/48], Loss: nan
Epoch [49/50], Step [30/48], Loss: nan
Epoch [49/50], Step [36/48], Loss: nan
Epoch [49/50], Step [42/48], Loss: nan
Epoch [49/50], Step [48/48], Loss: nan
Epoch [50/50], Step [6/48], Loss: nan
Epoch [50/50], Step [12/48], Loss: nan
Epoch [50/50], Step [18/48], Loss: nan
Epoch [50/50], Step [24/48], Loss: nan
Epoch [50/50], Step [30/48], Loss: nan
Epoch [50/50], Step [36/48], Loss: nan
Epoch [50/50], Step [42/48], Loss: nan
Epoch [50/50], Step [48/48], Loss: nan
Epoch [1/50], Step [6/48], Loss: nan
Epoch [1/50], Step [12/48], Loss: nan
Epoch [1/50], Step [18/48], Loss: nan
Epoch [1/50], Step [24/48], Loss: nan
Epoch [1/50], Step [30/48], Loss: nan
Epoch [1/50], Step [36/48], Loss: nan
Epoch [1/50], Step [42/48], Loss: nan
Epoch [1/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [1/50], Step [48/48], Loss: nan
Epoch [2/50], Step [6/48], Loss: nan
Epoch [2/50], Step [12/48], Loss: nan
Epoch [2/50], Step [18/48], Loss: nan
Epoch [2/50], Step [24/48], Loss: nan
Epoch [2/50], Step [30/48], Loss: nan
Epoch [2/50], Step [36/48], Loss: nan
Epoch [2/50], Step [42/48], Loss: nan
Epoch [2/50], Step [48/48], Loss: nan
Epoch [3/50], Step [6/48], Loss: nan
Epoch [3/50], Step [12/48], Loss: nan
Epoch [3/50], Step [18/48], Loss: nan
Epoch [3/50], Step [24/48], Loss: nan
Epoch [3/50], Step [30/48], Loss: nan
Epoch [3/50], Step [36/48], Loss: nan
Epoch [3/50], Step [42/48], Loss: nan
Epoch [3/50], Step [48/48], Loss: nan
Epoch [4/50], Step [6/48], Loss: nan
Epoch [4/50], Step [12/48], Loss: nan
Epoch [4/50], Step [18/48], Loss: nan
Epoch [4/50], Step [24/48], Loss: nan
Epoch [4/50], Step [30/48], Loss: nan
Epoch [4/50], Step [36/48], Loss: nan
Epoch [4/50], Step [42/48], Loss: nan
Epoch [4/50], Step [48/48], Loss: nan
Epoch [5/50], Step [6/48], Loss: nan
Epoch [5/50], Step [12/48], Loss: nan
Epoch [5/50], Step [18/48], Loss: nan
Epoch [5/50], Step [24/48], Loss: nan
Epoch [5/50], Step [30/48], Loss: nan
Epoch [5/50], Step [36/48], Loss: nan
Epoch [5/50], Step [42/48], Loss: nan
Epoch [5/50], Step [48/48], Loss: nan
Epoch [6/50], Step [6/48], Loss: nan
Epoch [6/50], Step [12/48], Loss: nan
Epoch [6/50], Step [18/48], Loss: nan
Epoch [6/50], Step [24/48], Loss: nan
Epoch [6/50], Step [30/48], Loss: nan
Epoch [6/50], Step [36/48], Loss: nan
Epoch [6/50], Step [42/48], Loss: nan
Epoch [6/50], Step [48/48], Loss: nan
Epoch [7/50], Step [6/48], Loss: nan
Epoch [7/50], Step [12/48], Loss: nan
Epoch [7/50], Step [18/48], Loss: nan
Epoch [7/50], Step [24/48], Loss: nan
Epoch [7/50], Step [30/48], Loss: nan
Epoch [7/50], Step [36/48], Loss: nan
Epoch [7/50], Step [42/48], Loss: nan
Epoch [7/50], Step [48/48], Loss: nan
Epoch [8/50], Step [6/48], Loss: nan
Epoch [8/50], Step [12/48], Loss: nan
Epoch [8/50], Step [18/48], Loss: nan
Epoch [8/50], Step [24/48], Loss: nan
Epoch [8/50], Step [30/48], Loss: nan
Epoch [8/50], Step [36/48], Loss: nan
Epoch [8/50], Step [42/48], Loss: nan
Epoch [8/50], Step [48/48], Loss: nan
Epoch [9/50], Step [6/48], Loss: nan
Epoch [9/50], Step [12/48], Loss: nan
Epoch [9/50], Step [18/48], Loss: nan
Epoch [9/50], Step [24/48], Loss: nan
Epoch [9/50], Step [30/48], Loss: nan
Epoch [9/50], Step [36/48], Loss: nan
Epoch [9/50], Step [42/48], Loss: nan
Epoch [9/50], Step [48/48], Loss: nan
Epoch [10/50], Step [6/48], Loss: nan
Epoch [10/50], Step [12/48], Loss: nan
Epoch [10/50], Step [18/48], Loss: nan
Epoch [10/50], Step [24/48], Loss: nan
Epoch [10/50], Step [30/48], Loss: nan
Epoch [10/50], Step [36/48], Loss: nan
Epoch [10/50], Step [42/48], Loss: nan
Epoch [10/50], Step [48/48], Loss: nan
Epoch [11/50], Step [6/48], Loss: nan
Epoch [11/50], Step [12/48], Loss: nan
Epoch [11/50], Step [18/48], Loss: nan
Epoch [11/50], Step [24/48], Loss: nan
Epoch [11/50], Step [30/48], Loss: nan
Epoch [11/50], Step [36/48], Loss: nan
Epoch [11/50], Step [42/48], Loss: nan
Epoch [11/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [11/50], Step [48/48], Loss: nan
Epoch [12/50], Step [6/48], Loss: nan
Epoch [12/50], Step [12/48], Loss: nan
Epoch [12/50], Step [18/48], Loss: nan
Epoch [12/50], Step [24/48], Loss: nan
Epoch [12/50], Step [30/48], Loss: nan
Epoch [12/50], Step [36/48], Loss: nan
Epoch [12/50], Step [42/48], Loss: nan
Epoch [12/50], Step [48/48], Loss: nan
Epoch [13/50], Step [6/48], Loss: nan
Epoch [13/50], Step [12/48], Loss: nan
Epoch [13/50], Step [18/48], Loss: nan
Epoch [13/50], Step [24/48], Loss: nan
Epoch [13/50], Step [30/48], Loss: nan
Epoch [13/50], Step [36/48], Loss: nan
Epoch [13/50], Step [42/48], Loss: nan
Epoch [13/50], Step [48/48], Loss: nan
Epoch [14/50], Step [6/48], Loss: nan
Epoch [14/50], Step [12/48], Loss: nan
Epoch [14/50], Step [18/48], Loss: nan
Epoch [14/50], Step [24/48], Loss: nan
Epoch [14/50], Step [30/48], Loss: nan
Epoch [14/50], Step [36/48], Loss: nan
Epoch [14/50], Step [42/48], Loss: nan
Epoch [14/50], Step [48/48], Loss: nan
Epoch [15/50], Step [6/48], Loss: nan
Epoch [15/50], Step [12/48], Loss: nan
Epoch [15/50], Step [18/48], Loss: nan
Epoch [15/50], Step [24/48], Loss: nan
Epoch [15/50], Step [30/48], Loss: nan
Epoch [15/50], Step [36/48], Loss: nan
Epoch [15/50], Step [42/48], Loss: nan
Epoch [15/50], Step [48/48], Loss: nan
Epoch [16/50], Step [6/48], Loss: nan
Epoch [16/50], Step [12/48], Loss: nan
Epoch [16/50], Step [18/48], Loss: nan
Epoch [16/50], Step [24/48], Loss: nan
Epoch [16/50], Step [30/48], Loss: nan
Epoch [16/50], Step [36/48], Loss: nan
Epoch [16/50], Step [42/48], Loss: nan
Epoch [16/50], Step [48/48], Loss: nan
Epoch [17/50], Step [6/48], Loss: nan
Epoch [17/50], Step [12/48], Loss: nan
Epoch [17/50], Step [18/48], Loss: nan
Epoch [17/50], Step [24/48], Loss: nan
Epoch [17/50], Step [30/48], Loss: nan
Epoch [17/50], Step [36/48], Loss: nan
Epoch [17/50], Step [42/48], Loss: nan
Epoch [17/50], Step [48/48], Loss: nan
Epoch [18/50], Step [6/48], Loss: nan
Epoch [18/50], Step [12/48], Loss: nan
Epoch [18/50], Step [18/48], Loss: nan
Epoch [18/50], Step [24/48], Loss: nan
Epoch [18/50], Step [30/48], Loss: nan
Epoch [18/50], Step [36/48], Loss: nan
Epoch [18/50], Step [42/48], Loss: nan
Epoch [18/50], Step [48/48], Loss: nan
Epoch [19/50], Step [6/48], Loss: nan
Epoch [19/50], Step [12/48], Loss: nan
Epoch [19/50], Step [18/48], Loss: nan
Epoch [19/50], Step [24/48], Loss: nan
Epoch [19/50], Step [30/48], Loss: nan
Epoch [19/50], Step [36/48], Loss: nan
Epoch [19/50], Step [42/48], Loss: nan
Epoch [19/50], Step [48/48], Loss: nan
Epoch [20/50], Step [6/48], Loss: nan
Epoch [20/50], Step [12/48], Loss: nan
Epoch [20/50], Step [18/48], Loss: nan
Epoch [20/50], Step [24/48], Loss: nan
Epoch [20/50], Step [30/48], Loss: nan
Epoch [20/50], Step [36/48], Loss: nan
Epoch [20/50], Step [42/48], Loss: nan
Epoch [20/50], Step [48/48], Loss: nan
Epoch [21/50], Step [6/48], Loss: nan
Epoch [21/50], Step [12/48], Loss: nan
Epoch [21/50], Step [18/48], Loss: nan
Epoch [21/50], Step [24/48], Loss: nan
Epoch [21/50], Step [30/48], Loss: nan
Epoch [21/50], Step [36/48], Loss: nan
Epoch [21/50], Step [42/48], Loss: nan
Epoch [21/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [21/50], Step [48/48], Loss: nan
Epoch [22/50], Step [6/48], Loss: nan
Epoch [22/50], Step [12/48], Loss: nan
Epoch [22/50], Step [18/48], Loss: nan
Epoch [22/50], Step [24/48], Loss: nan
Epoch [22/50], Step [30/48], Loss: nan
Epoch [22/50], Step [36/48], Loss: nan
Epoch [22/50], Step [42/48], Loss: nan
Epoch [22/50], Step [48/48], Loss: nan
Epoch [23/50], Step [6/48], Loss: nan
Epoch [23/50], Step [12/48], Loss: nan
Epoch [23/50], Step [18/48], Loss: nan
Epoch [23/50], Step [24/48], Loss: nan
Epoch [23/50], Step [30/48], Loss: nan
Epoch [23/50], Step [36/48], Loss: nan
Epoch [23/50], Step [42/48], Loss: nan
Epoch [23/50], Step [48/48], Loss: nan
Epoch [24/50], Step [6/48], Loss: nan
Epoch [24/50], Step [12/48], Loss: nan
Epoch [24/50], Step [18/48], Loss: nan
Epoch [24/50], Step [24/48], Loss: nan
Epoch [24/50], Step [30/48], Loss: nan
Epoch [24/50], Step [36/48], Loss: nan
Epoch [24/50], Step [42/48], Loss: nan
Epoch [24/50], Step [48/48], Loss: nan
Epoch [25/50], Step [6/48], Loss: nan
Epoch [25/50], Step [12/48], Loss: nan
Epoch [25/50], Step [18/48], Loss: nan
Epoch [25/50], Step [24/48], Loss: nan
Epoch [25/50], Step [30/48], Loss: nan
Epoch [25/50], Step [36/48], Loss: nan
Epoch [25/50], Step [42/48], Loss: nan
Epoch [25/50], Step [48/48], Loss: nan
Epoch [26/50], Step [6/48], Loss: nan
Epoch [26/50], Step [12/48], Loss: nan
Epoch [26/50], Step [18/48], Loss: nan
Epoch [26/50], Step [24/48], Loss: nan
Epoch [26/50], Step [30/48], Loss: nan
Epoch [26/50], Step [36/48], Loss: nan
Epoch [26/50], Step [42/48], Loss: nan
Epoch [26/50], Step [48/48], Loss: nan
Epoch [27/50], Step [6/48], Loss: nan
Epoch [27/50], Step [12/48], Loss: nan
Epoch [27/50], Step [18/48], Loss: nan
Epoch [27/50], Step [24/48], Loss: nan
Epoch [27/50], Step [30/48], Loss: nan
Epoch [27/50], Step [36/48], Loss: nan
Epoch [27/50], Step [42/48], Loss: nan
Epoch [27/50], Step [48/48], Loss: nan
Epoch [28/50], Step [6/48], Loss: nan
Epoch [28/50], Step [12/48], Loss: nan
Epoch [28/50], Step [18/48], Loss: nan
Epoch [28/50], Step [24/48], Loss: nan
Epoch [28/50], Step [30/48], Loss: nan
Epoch [28/50], Step [36/48], Loss: nan
Epoch [28/50], Step [42/48], Loss: nan
Epoch [28/50], Step [48/48], Loss: nan
Epoch [29/50], Step [6/48], Loss: nan
Epoch [29/50], Step [12/48], Loss: nan
Epoch [29/50], Step [18/48], Loss: nan
Epoch [29/50], Step [24/48], Loss: nan
Epoch [29/50], Step [30/48], Loss: nan
Epoch [29/50], Step [36/48], Loss: nan
Epoch [29/50], Step [42/48], Loss: nan
Epoch [29/50], Step [48/48], Loss: nan
Epoch [30/50], Step [6/48], Loss: nan
Epoch [30/50], Step [12/48], Loss: nan
Epoch [30/50], Step [18/48], Loss: nan
Epoch [30/50], Step [24/48], Loss: nan
Epoch [30/50], Step [30/48], Loss: nan
Epoch [30/50], Step [36/48], Loss: nan
Epoch [30/50], Step [42/48], Loss: nan
Epoch [30/50], Step [48/48], Loss: nan
Epoch [31/50], Step [6/48], Loss: nan
Epoch [31/50], Step [12/48], Loss: nan
Epoch [31/50], Step [18/48], Loss: nan
Epoch [31/50], Step [24/48], Loss: nan
Epoch [31/50], Step [30/48], Loss: nan
Epoch [31/50], Step [36/48], Loss: nan
Epoch [31/50], Step [42/48], Loss: nan
Epoch [31/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [31/50], Step [48/48], Loss: nan
Epoch [32/50], Step [6/48], Loss: nan
Epoch [32/50], Step [12/48], Loss: nan
Epoch [32/50], Step [18/48], Loss: nan
Epoch [32/50], Step [24/48], Loss: nan
Epoch [32/50], Step [30/48], Loss: nan
Epoch [32/50], Step [36/48], Loss: nan
Epoch [32/50], Step [42/48], Loss: nan
Epoch [32/50], Step [48/48], Loss: nan
Epoch [33/50], Step [6/48], Loss: nan
Epoch [33/50], Step [12/48], Loss: nan
Epoch [33/50], Step [18/48], Loss: nan
Epoch [33/50], Step [24/48], Loss: nan
Epoch [33/50], Step [30/48], Loss: nan
Epoch [33/50], Step [36/48], Loss: nan
Epoch [33/50], Step [42/48], Loss: nan
Epoch [33/50], Step [48/48], Loss: nan
Epoch [34/50], Step [6/48], Loss: nan
Epoch [34/50], Step [12/48], Loss: nan
Epoch [34/50], Step [18/48], Loss: nan
Epoch [34/50], Step [24/48], Loss: nan
Epoch [34/50], Step [30/48], Loss: nan
Epoch [34/50], Step [36/48], Loss: nan
Epoch [34/50], Step [42/48], Loss: nan
Epoch [34/50], Step [48/48], Loss: nan
Epoch [35/50], Step [6/48], Loss: nan
Epoch [35/50], Step [12/48], Loss: nan
Epoch [35/50], Step [18/48], Loss: nan
Epoch [35/50], Step [24/48], Loss: nan
Epoch [35/50], Step [30/48], Loss: nan
Epoch [35/50], Step [36/48], Loss: nan
Epoch [35/50], Step [42/48], Loss: nan
Epoch [35/50], Step [48/48], Loss: nan
Epoch [36/50], Step [6/48], Loss: nan
Epoch [36/50], Step [12/48], Loss: nan
Epoch [36/50], Step [18/48], Loss: nan
Epoch [36/50], Step [24/48], Loss: nan
Epoch [36/50], Step [30/48], Loss: nan
Epoch [36/50], Step [36/48], Loss: nan
Epoch [36/50], Step [42/48], Loss: nan
Epoch [36/50], Step [48/48], Loss: nan
Epoch [37/50], Step [6/48], Loss: nan
Epoch [37/50], Step [12/48], Loss: nan
Epoch [37/50], Step [18/48], Loss: nan
Epoch [37/50], Step [24/48], Loss: nan
Epoch [37/50], Step [30/48], Loss: nan
Epoch [37/50], Step [36/48], Loss: nan
Epoch [37/50], Step [42/48], Loss: nan
Epoch [37/50], Step [48/48], Loss: nan
Epoch [38/50], Step [6/48], Loss: nan
Epoch [38/50], Step [12/48], Loss: nan
Epoch [38/50], Step [18/48], Loss: nan
Epoch [38/50], Step [24/48], Loss: nan
Epoch [38/50], Step [30/48], Loss: nan
Epoch [38/50], Step [36/48], Loss: nan
Epoch [38/50], Step [42/48], Loss: nan
Epoch [38/50], Step [48/48], Loss: nan
Epoch [39/50], Step [6/48], Loss: nan
Epoch [39/50], Step [12/48], Loss: nan
Epoch [39/50], Step [18/48], Loss: nan
Epoch [39/50], Step [24/48], Loss: nan
Epoch [39/50], Step [30/48], Loss: nan
Epoch [39/50], Step [36/48], Loss: nan
Epoch [39/50], Step [42/48], Loss: nan
Epoch [39/50], Step [48/48], Loss: nan
Epoch [40/50], Step [6/48], Loss: nan
Epoch [40/50], Step [12/48], Loss: nan
Epoch [40/50], Step [18/48], Loss: nan
Epoch [40/50], Step [24/48], Loss: nan
Epoch [40/50], Step [30/48], Loss: nan
Epoch [40/50], Step [36/48], Loss: nan
Epoch [40/50], Step [42/48], Loss: nan
Epoch [40/50], Step [48/48], Loss: nan
Epoch [41/50], Step [6/48], Loss: nan
Epoch [41/50], Step [12/48], Loss: nan
Epoch [41/50], Step [18/48], Loss: nan
Epoch [41/50], Step [24/48], Loss: nan
Epoch [41/50], Step [30/48], Loss: nan
Epoch [41/50], Step [36/48], Loss: nan
Epoch [41/50], Step [42/48], Loss: nan
Epoch [41/50], Step [48/48], Loss: nan
The average error of the model on the 13 test images  is: nan Epoch [41/50], Step [48/48], Loss: nan
Epoch [42/50], Step [6/48], Loss: nan
Epoch [42/50], Step [12/48], Loss: nan
Epoch [42/50], Step [18/48], Loss: nan
Epoch [42/50], Step [24/48], Loss: nan
Epoch [42/50], Step [30/48], Loss: nan
Epoch [42/50], Step [36/48], Loss: nan
Epoch [42/50], Step [42/48], Loss: nan
Epoch [42/50], Step [48/48], Loss: nan
Epoch [43/50], Step [6/48], Loss: nan
Epoch [43/50], Step [12/48], Loss: nan
Epoch [43/50], Step [18/48], Loss: nan
Epoch [43/50], Step [24/48], Loss: nan
Epoch [43/50], Step [30/48], Loss: nan
Epoch [43/50], Step [36/48], Loss: nan
Epoch [43/50], Step [42/48], Loss: nan
Epoch [43/50], Step [48/48], Loss: nan
Epoch [44/50], Step [6/48], Loss: nan
Epoch [44/50], Step [12/48], Loss: nan
Epoch [44/50], Step [18/48], Loss: nan
Epoch [44/50], Step [24/48], Loss: nan
Epoch [44/50], Step [30/48], Loss: nan
Epoch [44/50], Step [36/48], Loss: nan
Epoch [44/50], Step [42/48], Loss: nan
Epoch [44/50], Step [48/48], Loss: nan
Epoch [45/50], Step [6/48], Loss: nan
Epoch [45/50], Step [12/48], Loss: nan
Epoch [45/50], Step [18/48], Loss: nan
Epoch [45/50], Step [24/48], Loss: nan
Epoch [45/50], Step [30/48], Loss: nan
Epoch [45/50], Step [36/48], Loss: nan
Epoch [45/50], Step [42/48], Loss: nan
Epoch [45/50], Step [48/48], Loss: nan
Epoch [46/50], Step [6/48], Loss: nan
Epoch [46/50], Step [12/48], Loss: nan
Epoch [46/50], Step [18/48], Loss: nan
Epoch [46/50], Step [24/48], Loss: nan
Epoch [46/50], Step [30/48], Loss: nan
Epoch [46/50], Step [36/48], Loss: nan
Epoch [46/50], Step [42/48], Loss: nan
Epoch [46/50], Step [48/48], Loss: nan
Epoch [47/50], Step [6/48], Loss: nan
Epoch [47/50], Step [12/48], Loss: nan
Epoch [47/50], Step [18/48], Loss: nan
Epoch [47/50], Step [24/48], Loss: nan
Epoch [47/50], Step [30/48], Loss: nan
Epoch [47/50], Step [36/48], Loss: nan
Epoch [47/50], Step [42/48], Loss: nan
Epoch [47/50], Step [48/48], Loss: nan
Epoch [48/50], Step [6/48], Loss: nan
Epoch [48/50], Step [12/48], Loss: nan
Epoch [48/50], Step [18/48], Loss: nan
Epoch [48/50], Step [24/48], Loss: nan
Epoch [48/50], Step [30/48], Loss: nan
Epoch [48/50], Step [36/48], Loss: nan
Epoch [48/50], Step [42/48], Loss: nan
Epoch [48/50], Step [48/48], Loss: nan
Epoch [49/50], Step [6/48], Loss: nan
Epoch [49/50], Step [12/48], Loss: nan
Epoch [49/50], Step [18/48], Loss: nan
Epoch [49/50], Step [24/48], Loss: nan
Epoch [49/50], Step [30/48], Loss: nan
Epoch [49/50], Step [36/48], Loss: nan
